,XGBoost,RandomForest,LogisticRegression,SVM
1,0.16646862030029297,0.12412190437316895,0.059265851974487305,0.017372608184814453
2,0.05561327934265137,0.14031314849853516,0.057324886322021484,0.020890474319458008
3,0.06177544593811035,0.13984346389770508,0.05018472671508789,0.02106451988220215
4,0.05657529830932617,0.13979268074035645,0.04923272132873535,0.023035287857055664
5,0.07281041145324707,0.14528989791870117,0.05796241760253906,0.025622844696044922
6,0.05857419967651367,0.16214323043823242,0.05207180976867676,0.026205778121948242
7,0.05918240547180176,0.15918731689453125,0.0536799430847168,0.025621891021728516
8,0.05405426025390625,0.15139222145080566,0.05456829071044922,0.022145986557006836
9,0.05246114730834961,0.14991259574890137,0.05490541458129883,0.02465081214904785
10,0.04880666732788086,0.14162516593933105,0.053044795989990234,0.026072978973388672
